Datetime,Close,High,Low,Open,Volume,Normal_Price,Risk_Status,Cushion_Pct,View
2026-02-26 18:30:00,408.189911,409.389008,405.079987,405.220001,4046022,407.1021423,Moderate Risk,0.023135,30 day
2026-02-26 19:30:00,407.709991,409.079987,407.119995,408.179993,3426907,407.0806396,Moderate Risk,0.021986,30 day
2026-02-26 20:30:00,408.480011,409.200012,407.690002,407.700012,2644632,406.9599792,Moderate Risk,0.024219,30 day
2026-02-27 14:30:00,406.854004,407.109985,400.899994,402.940002,8592703,407.2887817,High Risk,0.019319,30 day
2026-02-27 15:30:00,402.309998,406.920013,401.829987,406.859985,10497247,406.708783,High Risk,0.009372,30 day
2026-02-27 16:30:00,400.909912,403.540009,399.029999,402.260010,532089,405.2527832,High Risk,0.009473,30 day
2026-02-27 17:30:00,399.730011,401.609985,398.529999,400.920013,4264145,403.6567871,High Risk,0.010482,30 day
2026-02-27 18:30:00,399.730011,400.420013,398.119995,399.700012,3641343,401.9067871,High Risk,0.014882,30 day
2026-02-27 19:30:00,400.179993,401.019989,398.750000,399.734985,3782831,400.5719849,High Risk,0.019410,30 day
2026-02-27 20:30:00,402.420013,403.390015,399.279999,400.130005,4543627,400.593988,Moderate Risk,0.025059,30 day
2026-03-02 14:30:00,398.654114,399.218689,388.250000,390.320007,11632699,400.1428284,High Risk,0.016612,30 day
2026-03-02 15:30:00,400.170013,403.709015,397.739990,398.665009,6369385,400.2308289,Moderate Risk,0.020253,30 day
2026-03-02 16:30:00,402.519989,404.539886,399.739990,400.209991,5307407,400.7888245,Moderate Risk,0.024816,30 day
2026-03-02 17:30:00,401.750000,403.190002,400.970001,402.470001,3707542,401.1028259,Moderate Risk,0.022055,30 day
2026-03-02 18:30:00,402.649994,402.869995,400.100006,401.786285,3484032,401.148822,Moderate Risk,0.024227,30 day
2026-03-02 19:30:00,399.559998,402.799988,398.910004,402.660004,15081453,401.3299988,High Risk,0.015908,30 day
2026-03-02 20:30:00,403.234985,403.489990,399.559998,399.570007,5267667,401.9429932,Moderate Risk,0.023688,30 day
2026-03-03 14:30:00,386.720001,396.339996,386.559998,395.089996,17290057,398.7829956,High Risk,-0.010459,30 day
2026-03-03 15:30:00,392.540009,393.559998,385.399994,386.690002,12190306,396.9409973,High Risk,0.009095,30 day
2026-03-03 16:30:00,392.000000,393.549988,389.859985,392.529999,6657822,394.8109985,High Risk,0.013143,30 day
2026-03-03 17:30:00,393.290009,393.920013,389.079987,391.959991,5541323,393.5570007,High Risk,0.019716,30 day
2026-03-03 18:30:00,391.635010,394.769989,391.000000,393.299988,5557143,391.2370056,Moderate Risk,0.021446,30 day
2026-03-03 19:30:00,392.549988,394.700012,391.230011,391.670013,5268077,392.4030029,Moderate Risk,0.020790,30 day
2026-03-03 20:30:00,392.350006,393.500000,391.670013,392.540100,5308335,392.3650024,Moderate Risk,0.020369,30 day
2026-03-04 14:30:00,407.670013,407.852386,394.589996,397.845001,20741277,395.4990051,Low Risk,0.051810,30 day
2026-03-04 15:30:00,404.195007,407.790009,401.429993,407.670013,10733226,397.6800049,Low Risk,0.037125,30 day
2026-03-04 16:30:00,404.859985,407.149994,403.880005,404.179993,7361876,400.325,Low Risk,0.031968,30 day
2026-03-04 17:30:00,403.779999,405.040009,403.279999,404.864990,6209136,402.5710022,Moderate Risk,0.023473,30 day
2026-03-04 18:30:00,406.325012,406.839996,403.720001,403.779999,5290009,405.3660034,Moderate Risk,0.022822,30 day
