Datetime,Close,High,Low,Open,Volume,Normal_Price,Risk_Status,Cushion_Pct
3/5/2026 17:30,399.730011,403.4299927,399.4200134,403.170013,6761936,403.601086,High Risk,0.010621
3/5/2026 18:30,401.75,402.7799988,399.5599976,399.700012,4565821,402.737085,High Risk,0.017907
3/5/2026 19:30,402.7900085,404.3800049,399.7600098,401.700012,5510901,402.567084,Moderate Risk,0.020973
3/5/2026 20:30,405.4013062,405.8900147,402.5700073,402.769989,4836899,402.564282,Moderate Risk,0.027599
3/6/2026 14:30,397.3099976,398.5,394.2200012,398.184998,16938293,401.396265,High Risk,0.01002
3/6/2026 15:30,399.6199951,399.9549866,395.4100037,397.269989,10989461,401.374261,High Risk,0.015948
3/6/2026 16:30,398.8599854,401.4100037,397.7109985,399.630005,8265638,400.796259,High Risk,0.015479
3/6/2026 17:30,401.1700134,402.3500061,397.1499939,398.910004,6641166,400.47226,Moderate Risk,0.022186
3/6/2026 18:30,399.3099976,401.75,398.2999878,401.165009,5725425,399.253998,Moderate Risk,0.020551
3/6/2026 19:30,396.7200012,400.8299866,396.5,399.309998,5982618,399.135999,High Risk,0.014232
3/6/2026 20:30,396.5599976,398.2000122,396.2000122,396.730011,5246449,398.523999,High Risk,0.015379
